x, y
470, 6.6
471, 6.3
472, 6.3
473, 6.2
474, 6.1
475, 6
476, 5.9
477, 6
478, 5.8
479, 5.7
480, 5.7
481, 5.7
482, 5.7
483, 5.4
484, 5.6
485, 5.4
486, 5.4
487, 5.6
488, 5.4
489, 5.4
490, 5.3
491, 5.3
492, 5.4
493, 5.2
494, 5
495, 5.2
496, 5.2
497, 5.3
498, 5.2
499, 5.2
500, 5.3
501, 5.3
502, 5.4
503, 5.4
504, 5.4
505, 5.3
506, 5.2
507, 5.4
508, 5.4
509, 5.2
510, 5.5
511, 5.7
512, 5.9
513, 5.9
514, 6.2
515, 6.3
516, 6.4
517, 6.6
518, 6.8
519, 6.7
520, 6.9
521, 6.9
522, 6.8
523, 6.9
524, 6.9
525, 7
526, 7
527, 7.3
528, 7.3
529, 7.4
530, 7.4
531, 7.4
532, 7.6
533, 7.8
534, 7.7
535, 7.6
536, 7.6
537, 7.3
538, 7.4
539, 7.4
540, 7.3
541, 7.1
542, 7
543, 7.1
544, 7.1
545, 7
546, 6.9
547, 6.8
548, 6.7
549, 6.8
550, 6.6
551, 6.5
552, 6.6
553, 6.6
554, 6.5
555, 6.4
556, 6.1
557, 6.1
558, 6.1
559, 6
560, 5.9
561, 5.8
562, 5.6
563, 5.5
564, 5.6
565, 5.4
566, 5.4
567, 5.8
568, 5.6
569, 5.6
570, 5.7
571, 5.7
572, 5.6
573, 5.5
574, 5.6
575, 5.6
576, 5.6
577, 5.5
578, 5.5
579, 5.6
580, 5.6
581, 5.3
582, 5.5
583, 5.1
584, 5.2
585, 5.2
586, 5.4
587, 5.4
588, 5.3
589, 5.2
590, 5.2
591, 5.1
592, 4.9
593, 5
594, 4.9
595, 4.8
596, 4.9
597, 4.7
598, 4.6
599, 4.7
600, 4.6
601, 4.6
602, 4.7
603, 4.3
604, 4.4
605, 4.5
606, 4.5
607, 4.5
608, 4.6
609, 4.5
610, 4.4
611, 4.4
612, 4.3
613, 4.4
614, 4.2
615, 4.3
616, 4.2
617, 4.3
618, 4.3
619, 4.2
620, 4.2
621, 4.1
622, 4.1
623, 4
624, 4
625, 4.1
626, 4
627, 3.8
628, 4
629, 4
630, 4
631, 4.1
632, 4
633, 3.9
634, 3.9
635, 3.9
636, 4.2
637, 4.2
638, 4.3
639, 4.4
640, 4.3
641, 4.5
642, 4.6
643, 4.9
644, 5
645, 5.4
646, 5.6
647, 5.7
648, 5.6
649, 5.7
650, 5.7
651, 5.9
652, 5.8
653, 5.8
654, 5.8
655, 5.7
656, 5.7
657, 5.7
658, 5.9
659, 6
660, 5.8
661, 5.9
662, 5.8
663, 6
664, 6.1
665, 6.3
666, 6.2
667, 6.1
668, 6.1
669, 6
670, 5.9
671, 5.7
